시장명,별점,리뷰
부천시 부천상동시장,3.6,"['상동시장 호남생선가게\n왜 이렇게 노란 라인 넘어 \n길의 반을 차지하고 장사합...더보기', '자릿세 때문인지 가격이 비싸요\n과일은 대형마트보다 싱싱하지...더보기', '부천페이 되는곳 있어서 좋은데 안되는곳도 많고 현금만 받는 곳도 있음', '일단 무지하게 길다..\n상동시장 바로 길 건너편 중동사랑시장이 이어져 더 길다는 느낌 ??\n가격 괜찮고 웬만한 건 다 있어 구경...더보기', '안에 분식집 중에 가성비 대박인곳 있음']"
부천시 역곡남부시장,4.4,"['북부시장에 비해 규모가 작음\n2024년 업그레이드', '다른 가게는 다 좋았는데 입구쪽에 있는 곱창 집 말고 조금 더 들어가서 있는 곱창, 쭈꾸미 볶음집,, 바가지가 있는 듯 해요ㅠㅜ (바로 옆에 꽃집있음) 제가 학생처럼 보여서 그랬는 지 몰라도 대패 삽...더보기', '정감가는 시장', '작지만, 필요한건 다있고, 너무 크지도 않아 다니기 편했어요. 다 좋은데, 주차가 조금 아쉽네요.', '아이스크림이랑 채소, 떡, 계란이 싸요']"
부천시 부천자유시장,3.5,"['시장구경을 좋아해서 국내 오일장&시장, 전세계 시장을 엄청 많이 다닌 시장프로구경러인데요, 여기 시장은 상업적으로 타지사람들이 와서 장사하는게 아니고 정말 퓨어한 시장이네요!!ㅎㅎ 시...더보기', '여기 가면 노령화 체험 가능해요', '참기름,들기름 굿굿', 'good', '주차장이 없어서 이마트나 도로에 30분은 단속되지않아요', '첨가는 곳인데 위치 찾는데 도움이 되어서 좋습니다 ^^', '부천에 이사 온 지 어느덧 3년째인 주민이 추천하는 자유시장 맛집, 가성비 가게 목록입니다.\n\n1. 밥보다 국수       ...더보기', '물건사러 간 가게 모든곳이 손님이가도 시큰둥 하네요 무슨우환들이 시장에 다 몰려 있나 싶을 정도입니다  \n어느곳은 물건사니...더보기', '채소가 저렴해서 다양하게 샀어요!', '재래시장', '주차 많이 불편... 주말나들이겸 지역시장 돌아다니는 중인데... 일부러 갈 정돈 아닌거같아요   가격도 질도  상인분들 태도도..', '주차는 쫑 불편해요']"
부천시 부천한신시장,5,"['여기 물건도 엄청싸고 신선해요 상점 사장님들도 인정많고 장보기도 편하고 ~~^^', '공영주차장에서 가깝워서 좋아요', '입구쪽 닭집인데 너무 친절하시네요. 닭 신선하고 좋아요']"
부천시 소사종합시장,3.3,"['시장 상인분들은 대체적으로  친절한데 파는 물건들이 대형마트랑 비교해서 싸다고 느낀적이 없는 일부는 더 비싸기도?', '닭똥집 가게는 추천. 맛있어서 2번 방문함.\n깻잎이 같이 있어서 잡내도 안나고 맛있음.\n중간에 위치한 중국디저트가게는 비추천.\n자꾸 먹기 ...더보기', '인심좋은 시장이 절대 아님.\n카드값 현금값 다르게 부름. 현금내면 거슬러주는 경우도 있고\n카드내면 돈 더받는 사람도 있...더보기']"
부천시 청과물시장,,[]
부천시 고리울동굴시장,3.8,['고리울시장 매번 방문때마다 너무 친절해서 또 가고 싶어요 ?? 최고에요']
부천시 오정시장,3.7,"['시장이라 복잡 합니다\n서행 운전 하세요', '이 곳은 시장도 아님.. 상점 몇개있는 거리임\n몇개 없는 상점에.. 가격도 비싼 축에 속하고\n물건도...더보기', '죽은시장은 아니고\n저녁 장볼시간엔 사람많음 \n그리고 차다닐정도로 넓은데….(차가 다녀서 불편...더보기', '죽은시장임..... 작고 좁고... 문닫은 가게들 많음....']"
부천시 역곡상상시장,3.4,"['요즘 세상에 떡볶이 2천원 핫도그 1500원 군만두 7개 5천원 이런 시장이 없다 \n맛나게 잘먹었다 재방문의사1000%', '북적북적^^ 세상이 아무리변해도 시장이참정겹습니다\n물가가 비싼데 여긴 정말 저렴하고 싱싱하네요 특히상추가좋습니다', '역곡상상시장 안에 있는 성백영민속떡집에 떡 사러 자주 가는 편입니다\n재래시장이라 주차는 불편해서 주로 대중교통으로 가는 편입니다\n물건들이 다양해서 구경과 쇼핑에 좋아요', '시장이 깨끗하고 물건도 다양해요. 과일 야채 생선 고기 모두 싱싱합니다. 다만 붕어빵 호떡 시루떡 등 맛있는 간식거리가 많아 유혹을 떨쳐내기 어려운 점이  있어요.', '집에서 가까워 자주 가는데 화장실에 화장지 늘 비치 해주세요\n준비 없이 갔다가 낭패\n신경 써 주세요', '다양한 제품들 저렴하게 구매할수 있는 곳이 많아요.', '정비가 잘되어 있어요\n부천페이 이용할수 있어요\n활성화 되어 있어요', '풍년기름집에들려서 들기름과 참기름을  샀어요,  사장님이 직접  착즙해서 바로팔기  때문에 고소함과  신선도가 믿을수있었어요,\n고추가루도 직접...더보기', '생각보다작아요~~~', '레드향 토마토 십원빵 반찬가게  네군데 이용했는데\n여기도 가격담합있고  재래시장 아니네요~\n...더보기', '상상시장이라는 이름이 없었을 때 자주 갔었어요. 옛 추억', '퇴근하며 어묵을  튀겨  파는곳에서 2팩에11000 이라고해 10000원에  주세요 하니  현금으로  내랜다  5만원권 현금을  내니 390...더보기', '정육점 직원?들이 친절하세요', '두부 맜잇어요', '바로 근처에 대형마트가 있긴 하지만 잘 살피면 대형마트에도 없는 물건도 찾을 수 있음\n동네 뒤져봐도 0.3 샤프심이 안...더보기', '생각보다 가격이 비싼집이 많음...']"
부천시 원미부흥시장,3,"['- 고객들의 통행을 위해 노랑색 통행 가이드라인이 그려져있지만, 대다수의 가게들이 지키지 않고 물건과 가구, 판매품등을 길거리에 내놓아 통행이...더보기']"
부천시 원미종합시장,4.7,"['시장 구경하는 재미가 있어요, 분식 꽈배기 도넛츠등 간식거리 먹는 재미', '전국 어느시장을 가도 밀리지 않는 가성비를 갖춘곳…상동,중동같은 1기신도시 사는분들중에도 이용하는분들 많아요. 안간지 오래돼서 지금은 어떤지 모르겠네요.', '짱입니다  강추입니다', '시장이 생각보다 큽니다.\n다양한 먹거리가 즐비하고요~\n재래시장 많큼 기분 좋은 곳은 없는듯 합니다!', '다양한 먹거리 좋습니다']"
부천시 부천제일시장,4.4,"['종류 많고 싸고 좋아요~', '친절하고 먹거리 많아요', '자주 가는 제일시장 싸고 인간미 넘치고 너무 좋아요', '시장통에있는카페랍니다\n가끔이지만\n편안함땜에가는거같아요', '가격이 정말 저렴하고 종류도 많아요~ 가면 돈버는 기분!', '나:홍어 얼마에요? \n아줌아:8,000 이요\n나: 홍어 하나 주세요.\n.\n.\n.\n...더보기', '제일시장 정말 좋아요']"
부천시 원종종합시장,3.6,"['시장 내부가 너무 깨끗하고 넓어서 우리 강쥐랑 아기 데리고 편하게 시장봤어요~\n과일 야채 엄청 싸고 신선해서 자주 갑니다~~', '사진  첨부한  이곳이      사장님께서   서비스로  재능 기부하시는  무료 수선하는  곳입니다..   공짜수선     푸하하하  바지기장이나..   아이들 옷  가랑이 터진곳 걍  수선 해주심ㅋㅋ  남자사장님  인상도  좋으...더보기', 'ㅡㅡㅡㅡ', '주차시설이 넘않좋아요', '그래도 가까워서 차끌고 시장 자주가는데 왜 시장입구 도로에 CCTV를 달아서 서민들을 죽이려하는지? 이젠 못기겠네요ㅜㅜ.그도로에 잠깐 주차하고 장을 자주보는데 어이없네요.시장과 서민을 죽이는 이 발상은 누구일까 ㅜㅜ서민들은 피눈물남니다.', '시장이 아님', '..별로..']"
부천시 원종중앙시장,4.5,['길게 시장이 형상 되어 있는데 큰 편이라 좋아요']
부천시 중동사랑시장,,[]
성남시 돌고래시장,4.8,"['맛있는거 진짜 많고 김밥은 근본임', '시장이 활발해서 좋아요 :) 화장실도 깔끔해서 좋고 주차는 명절에는 어렵지만, 다들 친절하시고 맛집도 많아요!\n자장면집 옆에 행복한 김치 넘넘 맛있어요\U0001f979', '분당에서 정말 귀한곳 ㅋㅋㅋ 엄마가 좋아해요..코낄 돌고래..', '전통시장 좋아요', '상인분들이 다 친절해요. 전체적으로 다 깔끔해요 지저분한 시장이아니라 깨끗합니다\n음식 특히 국수집 진짜 맛있네요']"
성남시 코끼리시장,4.2,['여기 밑에 중국집 자장면 맛집이었는데 지금도 있나욮?']
성남시 분당종합시장,,[]
성남시 현대프라자시장,,[]
성남시 동신종합시장,,[]
성남시 분당우성시장,,[]
성남시 미래타운제2종합시장,,[]
성남시 미래그린시장,5,"['제자훈련과 다락방이 운영되는 소그룹이 살아있는 교회입니다', '분당우리교회에서  분립개척한 교회에요 말씀이 살아있고 넘 은혜로와요']"
성남시 범한프라자시장,,[]
성남시 미금현대벤처빌시장,,[]
성남시 금호행복시장,4.8,"['지하1층 가격은 좀 있지만 그만큼 물건들이 좋았고   1층 옷가게들은 동대문남대문시장 갈 필요가 없을만큼 물건들 좋고 악세사리 귀금속 가게들도 너무 예쁜거 많았고 2층은 식당들 유명한 맛있는 집  많아 골라먹을 수 있어 너무 편함', '금호행복깁밥 맛있어요', '주차가 좀 불편한데 없는게 없어서 좋은거 같아요.\n정작 분당살데는 이런 전통시장이 있는줄도 몰랐는데 앞으로 가끔 가려구요~', '근처 살지 않지만 시간내어서 가는 곳이에요. 품목이 너무나 다양해서 좋아요.', '여긴 우째 식당들이 다 맛있냐... 이런 곳 처음 봤음. 특히 막걸리 무제한 주는 쭈꾸미집?이랑 그루터기. 여기 두 곳은 맛 쵝오!!!', '상권이 살아있어 활발하고 좋은 분위기입니다.\n웟층 식당들도 아주 훌륭합니다 !']"
성남시 청구문화시장,5,[]
성남시 코코프라자시장,,[]
성남시 중앙공설시장,4.3,"['사진 차례로 중앙시장 비빔국수, 길거리 판매', '주차요금 너무 좋습니다^^\n1:30주차해서 1800원!!', '자주 가는 재래시장입니다.', '연휴 첫날 장보러 갔다가 소매치기 당했어요 ㅠㅠ\n처음 가본 곳이라 구경하느라 제 부주의도 있었다고\n생각하지만 손에 들고다니는 가방이 깜...더보기', '중앙공설시장 근처 맛집 \n가정식백반으로 맛있습니다', '새로 지었는데 주차장이 이상하기는 한데 가격 저렴하고 맜있어요', '작고 비싸지만 한번씩 놀러간다생각하고 갈만해요', '깨끗해요~~', '엄청 작음', '주차편하고 깨끗해서 좋아요.', '맛집도 많고 주차가 매우 쾌적함!', '일부러 1층 마마도나스 사려고 여기까지 가요.\n저는 꽈베기를 젤로 좋아하는데\n이것저것 풍성하...더보기', '맛나게 잘 먹고왔어요']"
성남시 하대원공설시장,4,['화장실은 건물 서쪽 끝에 항시 개방']
성남시 상대원시장,4.6,"['이재명대통령의 고향과 같은곳', '꼭 가보고 싶습니다', '이재명 초등학생때 이재명 부모가 일하던 전통시장', '이잼의 어린시절이 스며있는 시장. 담에 성남가면 꼭 놀러가고 싶어요', '요즘 재래시장의 활성도가 좀 미비한것 같아요..\n그래도 찬거리 먹거리.종류는 변함이 없...더보기', '먹을것도많고,품질도좋아요', '개천에서 용 났다! ;-)', '마트가 없어져서 좀불편하긴 하지만.톰닭집도 싸고맛있어요. 지하곰판장은 다이소만큼 물건들 많고 품질도 다이*보다 좋아요~', '마트앞에 반찬가게서 전 2마넌아치 샀는데 쉰네나서 버렷어요  위생관리어렵더라도 잘좀합시다', '꼭 가보고 싶은 곳입니다', '꼭 가보고 싶은곳~!', '언젠가 꼭 놀러갈게요~^^', '좋은 곳에서 눈물쇼 훠이~~~']"
성남시 성남남한산성시장,5,[]
성남시 모란전통기름시장,,[]
성남시 금광시장,,[]
성남시 단대전통시장,3.4,"['진짜 진심으로 전통시장이라는게 안믿김..,', '허름하지만 친절해요', '단대전통시장 기대하지마세요. 규모도 너무 작고 상가도 몇개 없고 전체적으로 가격이 상당히 높아요 물건이나 상점이 깨끗하고 고급스러운것도 아닌데 .. 심지어 이마트나 G...더보기']"
성남시 모란종합시장,4,"['먹거리, 볼거리 괜찮네요 ~', '모란전통시장 진짜 오래되서, 백년가게가 많음~\n근데 다 비슷함.. 흑염소, 참기름..']"
성남시 은행시장,4.6,"['충남기름집은 사장님이 친절하시고\n맛난 기름을 판매하시니\n다시 가는 장소랍니다', '구)은행시장\n어느날부터 남한산성시장이라 명칭변경\n온누리 상품권은 지류 인터넷 다...더보기']"
성남시 모란가축시장,,[]
수원시 권선종합시장,3.6,"['여기가 종합시장?\n그냥 족발골목입니다\n족발집이 너무 많아서 다양성부족\n장기...더보기', '다양한 해산물리 있어서 회식하면 좋겠다', '깨끗하게 새단장 하여ㅛ음', '다시 방문은 못할거 같네요', '족발은 권선시장으로 ~~', '반찬사러 세번갔는데 위생땜에 항상 찜찜했는데 이번에 산 물김치에서 벌레랑 먼지가 막나와서 이제 안갑니다. 저렴하긴한데 바가지씌울려는 사람도 종종 보이고 많이 아쉬워요', '앞으로 1인분은 안 팔기로 상인들끼리 약속했다고 하네요 어이가 없어서ㅋ 순댓국집 갔다가 이 시장은 1인분은 안 판다고 해서 그냥 돌아왔어요ㅎ', '가격대가 아쉽...', '가성비는 하위수준이구..\n시장이라기 보단 먹자골목에 가까운데 맛집은 바늘찾기다 ..ㅠ', '규모도 작고 가격도 위생도 딱히 메리트 없음 시장이 가고 싶으면 지동시장 가는 게 낫다\n+최근에 전을 샀는데 그자리에서 한번 구워주는게...더보기', '저렴하고 맛있는 가성비 최고의 맛집들\n족발 도가니 한우 수육']"
수원시 구매탄시장,3.4,"['할머니외 자주 갔던 시장', '쏘쏘 \n작지만 필요한건 다 있음', '가까운 곳에 시장이 있어서 얼마나 감사한지요..\n맛있는 반찬, 만두, 과일, 생선구이, 건어물을 저렴하게 살 수 있어 애용합니다.', '시장의 크기가 너무 작아요. 최소 2배 이상은 되어야 뭔가 살게 있을 듯. 그리고, 만원 이하는 카드 결제 거절하는 집들이 많네요? 그거 불법인거 알죠?', '입구에서 조금 더 들어가서 있는 튀김 떡볶이 순대파는 분식집 튀김 맛있네요\n집근처에 분식집이 냉동쓰거나 튀김옷이 너무 두꺼워서 아쉬웠는데 친구만나...더보기', '그냥 동네시장..', '엄마손반찬에서 잡채랑 나물반찬 샀는데\n잡채를 덜어보니 면발이 찐득하게 들러붙어있고 쉰내가...\n멀어서 환불하러 가지도 못하고...더보기', '진짜 인터넷에 댓글 잘 안남기는데... \n기분이 더러워서 정말 몇년만에 남깁니다...\n오늘 2021년6월11일 오...더보기', '야채   과일   공산품', '1점은 적고 3점은 많네유', '방송보고 갔다가 그냥왔네요\n몇집안되는 동네시장\n멀리서 찾아갈정도...더보기']"
수원시 정자시장,3.8,"['크진 않지만 상품들이 좋고 알차게 쇼핑할수 있는 시장이네요.', '일부 품목만 알뜰저렴. 나머지는 비교적 비싸거나 동등한 가격.', '좁고 드럽고 차 많고 사람 많고', '가성비', '심봉사도로케 맛집 갔는데\n고로케 맛집...더보기', '주차빼고는 다좋아요\n시장인데 주차장요금 너무 야박하고 비싸요.\n주차장 들어갔다 바로 나왔는데 무료회차같은거 없고 무조...더보기', '통닭집 한곳에서 닭두마리 사다가 먹는데 머리카락이 계속 나와서 (한 6~7개?) 한개 정도 나왔을때는 사람이 튀기는데 그럴수 있지 했다가 계속 나오는거보고 토나왔다 진심', '호 : 음 뭐,, 음,, 딱히\n불호 : 야외에 동선도 길지않고 그냥 저냥,,', '별루', '대한민국에서 가장 가성비굿  정말싸여  먹거리도 정말많아요', '겨우 2만원도 안되는 떡 사러와놓고 주차권을 달라고? 예끼 이사람아', '주차권 으로바뀌고  가기가 싫어짐\n떡집할머니  2만원이상 사야 30분주차권 준다고 함 ㅎㅎ', '물건도 다양하고 가격도 저렴하고 상인분들도 다들 친절해요:)']"
수원시 장안문거북시장,5,['먹거리많고 좋아요']
수원시 반딧불이연무시장,4.2,"['음... 시장이 생각하는 그런 재래시장의 모습이 아니라 상점이 많은 거리네요, 차도 많이 다니며 그늘도 없답니다.\n5일장인가 혹시나 했다는...', '문화센터에 주차하기가 편해요~', '다 좋은데 시장안에 차들이 너무 빨리 달리고 주차차량때문에 복잡하네요...횡단보도가 없어서 솔직히 불안합니다..개선좀 하면 좋을듯요']"
수원시 조원시장,3.2,"['너무 좋아요~!', '조원시장 인근 인도불법주차 너무 심각하네요']"
수원시 북수원시장,4,"['항상 식재료\n식재료 사러가는 곳입니다!', '저렴하고 좋음. 반찬이 저렴하고 식자재나 과일값은 평범한 수준. 탕국집 파는 곳이 없어서 아쉽다. 유동인구도 꽤 있고 북수원 중에선 여기 재래시장이 제일 유일하고 크고 점포수가 많다...더보기', '좋음.', '별로에요', '주차장 좀 어떻게 해주세요;;;', '주차할때 없고 시장주차장 있지만 시장상인회에 가입된 가게에서만 주차권줌. 30분 넘으면 2000원\n배보다 배꼽이 더...더보기']"
수원시 시민상가시장,,[]
수원시 영동시장,4.8,"['수원 화성의 팔달문과 수원천 사이에 자리 잡은 영동시장은 3층짜리 건물 안에 200여 개의 점포가 모여 있어 이용이 편리하다. 종합시장이면서 한복 특화 시장으로 한복을 비롯해 관련 상품인 포목, 커튼 등의 거래가 활발하다.']"
수원시 지동시장,4.3,"['짱..♥?', '지동시장은 수원 성곽을 배경으로 형성된 100년 전통의 상설시장으로 순대, 정육, 생선, 야채, 떡, 회 센터 등 다양한 전통 식품들을 취급하고 있으며 특히, 20여 개의 순대전문음식점이 밀집하게 되면...더보기', '할머니와 자주 갔던 시장', '다양하고  저렴한 가격이네요   맛난 칼국수도 있어요', '카드가 안되는곳이 많아요....상인들 생각을 바꾸어야..겟지요....', '자주 가는 곳, 팔달주차타워로 가면 주차 쉬운데 지동시장 주차장에서 긴 줄 서지 마세요. 뭐든지 쌉니다.', '기대하던 순대국밥이 너무 맛있어요 전골은 소주를 부르네요^^', '맛조개 철이네요. 만원에 한근넘게 주시더라구여~~~\n싱싱하고 달았습니다.', '수원 시장 구경 재밌어요~~.', '구경 하기 좋아요\n깨끗하고 정리도 잘 되어있어요']"
수원시 화서시장,3.9,"['I was go here in Hwaseo Market because My Auntie is living here. She was selling ready to wear outfit. It was really nice this place.', '주차장도 새로 생기고, 시장도 정비되어서 깨끗해요.\n가격은 많이 저렴하진 않지만.', '모퉁이쪽 떡볶이집... 지역화폐도 카드도 안받고 현금만 받으려고 대놓고 무안줌\n안그래도 시장 전반적으로 가격이나 질부분에서 경쟁력떨어지고 특색도 없는데 다...더보기', '굿굿굿', '위생;;', 'ㅠㅠ', '그냥 동네  시장 ... 상품은 다양 하나\n우리동네 마트 에서 사는게 더 나을듯 ,,,']"
수원시 미나리광시장,3.5,['미나리광 시장은 지동 시장과 못골 시장 사이에 있다. 오래전 시장 일대가 미나리밭이었기 때문에 미나리광 시장이라는 이름...더보기']
수원시 매산시장,4.4,"['전국 공통 시장에서 음식 장사하는 곳들은 절대 가면 안 됨', '주말엔 주차가 너무 어려워요', '화라맛집 마라탕이최고~']"
수원시 구천동공구상가시장,,[]
수원시 남문로데오시장,4.7,"['한번쯤 가볼만해여 먹을 거 ㅂㄹ 옶음 ㅠ', '주말에 가서 그런지 사람들이 와글와글 말그대로 시장통입니다 ㅋㅋㅋ\n그래서 주차 자리도 없어요 ㅜ ㅠ 돌다가 겨우...더보기', '주차하기가 불편하고 불친절해서 다시가고\n싶지않아요 순대집들이요', '사람이바글바글 주차빡세요', '먹을거 많고 볼거 많음']"
