시장코드,시장명,지번주소,도로명주소,시도,시군구,시장개설주기,점포수,개설연도,취급품목,아케이드,엘리베이터/에스컬레이터,고객지원센터,스프링쿨러,화재감지기,유아놀이방,종합콜센터,고객휴게실,수유센터,물품보관함,자전거보관함,체육시설,간이도서관,쇼핑카트,외국인안내센터,고객동선통로,방송센터,문화교실,공동물류창고,시장전용고객주차장,교육장,회의실,자동심장충격기,공중화장실,주차장,위도,경도,전화번호
a31060003,광명전통시장,경기도 광명시 광명동 158-44,경기도 광명시 광이로13번길 17-5,경기도,광명시,매일,315,1972,농산물+축산물+수산물+가공식품+음식점,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.47994501,126.8561659,02-2614-0006
a31250002,경안시장,경기도 광주시 경안동 33-16,경기도 광주시 경안로25번길 14-1,경기도,광주시,3일+8일,91,2005,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.40885891,127.25703,031-761-2800
a31120001,구리전통시장,경기도 구리시 수택동 417,경기도 구리시 검배로 6번길 31,경기도,구리시,매일,321,1977,농산물+가공식품+의류+음식점,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.59953937,127.1399081,031-568-8700
a31160001,군포역전시장,경기도 군포시 당동 749,경기도 군포시 군포로538번길 18,경기도,군포시,매일,60,1970,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.35386925,126.9476651,031-455-3366
a31160002,산본시장,경기도 군포시 산본동 221-5,경기도 군포시 산본천로183번길 6   산본동 ,경기도,군포시,매일,220,1985,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.36966875,126.938123,031-399-4248
a31230004,통진시장,경기도 김포시 서암리 721-8,경기도 김포시 서암로84번길 29,경기도,김포시,매일,78,2012,농산물+가공식품+신발+가정용품+음식점,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,N,N,37.69129373,126.5997032,031-990-0520
a31230010,양곡오라니장터시장,경기도 김포시 양촌읍 양곡리 419-4 16호,경기도 김포시 양곡1로 54,경기도,김포시,매일,70,2016,농산물+축산물+가공식품+의류+신발+가정용품+음식점,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,37.65536924,126.6235242,031-984-5906
a31130004,남양주장현 전통시장,경기도 남양주시 장현리 380-15,경기도 남양주시 진접읍 장현로 77의100,경기도,남양주시,2일+7일,172,1995,농산물,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,37.71836516,127.1827774,031-572-0026
a31080001,동두천제일시장,경기도 동두천시 생연동 823,경기도 동두천시 정장로 11-12,경기도,동두천시,매일,45,2005,음식점,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,37.90517383,127.0522256,
a31080003,동두천큰시장,경기도 동두천시 생연동 698-1,경기도 동두천시 큰시장로 52,경기도,동두천시,5일+10일,104,1960,농산물,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,37.90048898,127.0520744,031-859-1233
a31080005,세아프라자상가,경기도 동두천시 큰시장로 64,경기도 동두천시 큰시장로 64,경기도,동두천시,매일,385,2008,의류+신발+가정용품,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.90072388,127.0505851,031-862-8503
a31052005,조공시장,경기도 부천시 괴안동 70-20,경기도 부천시 안곡로 29,경기도,부천시,매일,55,1987,농산물+축산물+가공식품+의류+음식점,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,37.47917913,126.805766,
a31050003,부천상동시장,경기도 부천시 상동 236-5,경기도 부천시 석천로60번길 51,경기도,부천시,매일,131,1986,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.49235745,126.7642776,032-611-3691
a31050004,역곡남부시장,경기도 부천시 소사구 괴안동 107-8,경기도 부천시 부광로16번길 33,경기도,부천시,매일,68,1983,농산물+축산물+가공식품,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,37.48253123,126.8115462,070-7376-2804
a31052002,부천자유시장,경기도 부천시 소사구 심곡본동 543,경기도 부천시 소사구 자유로 33,경기도,부천시,매일,261,1947,농산물+축산물+가공식품,Y,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,Y,Y,N,Y,N,37.48410744,126.7799517,032-656-1892
a31052003,부천한신시장,경기도 부천시 소사본동 200-1,경기도 부천시 은성로68번길 46,경기도,부천시,매일,95,1986,농산물+축산물+가공식품,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,37.47312039,126.7980266,032-341-5372
a31052004,소사종합시장,경기도 부천시 소사본동 78-12,경기도 부천시 호현로474번길 13-2,경기도,부천시,매일,48,1980,농산물+가공식품,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,37.4796637,126.7939615,032-343-8155
a31050002,청과물시장,경기도 부천시 심곡본동 659,경기도 부천시 경인로206번길 43,경기도,부천시,매일,16,1973,농산물,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,37.48158095,126.7779919,
a31050010,고리울동굴시장,경기도 부천시 오정구 고강동 398-5,경기도 부천시 고리울로64번길 36,경기도,부천시,매일,74,1990,농산물+가공식품,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,37.52554379,126.8222757,032-679-9217
a31053002,오정시장,경기도 부천시 오정동 582-30,경기도 부천시 부천로 470번길 50,경기도,부천시,매일,77,1992,농산물+축산물,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,N,N,37.52596962,126.7857002,
a31051003,역곡상상시장,경기도 부천시 원미구 역곡동 84-7,경기도 부천시 부일로749번길 31,경기도,부천시,매일,99,1984,농산물+가공식품+의류,Y,N,Y,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.48757743,126.8118954,032-343-8562
a31051004,원미부흥시장,경기도 부천시 원미동 119-4,경기도 부천시 부천로96번길 80,경기도,부천시,매일,54,1980,농산물+축산물+가공식품,Y,N,Y,N,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,37.49203622,126.7898115,032-667-1571
a31051005,원미종합시장,경기도 부천시 원미동 97-12,경기도 부천시 조종로 49번길 21-3,경기도,부천시,매일,42,1985,농산물+축산물+수산물+가공식품,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,37.49368572,126.7901781,
a31050005,부천제일시장,경기도 부천시 원종동 296,경기도 부천시 원종로85번길 84,경기도,부천시,매일,164,1981,농산물+축산물+가공식품,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,37.52795693,126.8097237,
a31050006,원종종합시장,경기도 부천시 원종동 372-1,경기도 부천시 삼작로 394,경기도,부천시,매일,51,1987,농산물+축산물+수산물,Y,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,37.51971502,126.8055705,032-681-0985
a31050007,원종중앙시장,경기도 부천시 원종동 209-5,경기도 부천시 성오로 124번길 47,경기도,부천시,매일,60,1991,농산물+축산물,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,37.52507056,126.8023099,
a31051002,중동사랑시장,경기도 부천시 중동 724,경기도 부천시 부흥로200번길 25,경기도,부천시,매일,102,1995,농산물+가공식품,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.49497098,126.764586,070-737-7171
a31020004,돌고래시장,경기도 성남시 분당구 수내동 53,경기도 성남시 분당구 내정로174번길 42 파크타운서안아파트,경기도,성남시,매일,141,1993,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+학원,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.37153201,127.1221653,031-786-0704
a31020005,코끼리시장,경기도 성남시 분당구 수내동 56,경기도 성남시 분당구 내정로 166번길 7-6,경기도,성남시,매일,108,1996,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+학원,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,37.37311059,127.1204292,031-7713-1071
a31020008,분당종합시장,경기도 성남시 분당구 수내동 83,경기도 성남시 분당구 돌마로 366번길 42,경기도,성남시,매일,42,1996,농산물+축산물+가공식품+의류+신발+가정용품+음식점+학원 병원,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,37.36718424,127.1267528,
a31020009,현대프라자시장,경기도 성남시 분당구 수내동 79-2,경기도 성남시 분당구 돌마로 364,경기도,성남시,매일,95,1996,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+학원 병원,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,Y,37.3699897,127.1236643,031-717-3044
a31020010,동신종합시장,경기도 성남시 분당구 수내동 돌마로 361,경기도 성남시 분당구 수내동 돌마로 361,경기도,성남시,매일,86,1993,농산물+가공식품+의류+신발+가정용품+음식점+학원,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,Y,Y,Y,37.37062115,127.1229653,
a31020011,분당우성시장,경기도 성남시 분당구 서현동 94-3,경기도 성남시 분당구 중앙공원로40번길 42,경기도,성남시,매일,79,1995,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,Y,37.37817959,127.1323828,
a31020012,미래타운제2종합시장,경기도 성남시 분당구 서현동 311,경기도 성남시 분당구 불정로376번길 31,경기도,성남시,매일,64,1994,농산물+가공식품+음식점+학원,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,37.37225241,127.1388753,031-704-8151
a31020013,미래그린시장,경기도 성남시 분당구 서현동 307,경기도 성남시 분당구 불정로386번길 10 서현동  효자촌미래타운아파트 ,경기도,성남시,매일,154,1994,농산물+축산물+수산물+가공식품+의류+가정용품+음식점+학원,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,37.37341572,127.1380307,
a31020018,범한프라자시장,경기도 성남시 분당구 서현동 312-3,경기도 성남시 분당구 불정로376번길 37 서현동 ,경기도,성남시,매일,84,2015,농산물+축산물+수산물+의류+신발+가정용품+음식점,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,Y,Y,Y,37.37163004,127.1394386,031-702-5982
a31020019,미금현대벤처빌시장,경기도 성남시 분당구 구미동 26-1,경기도 성남시 분당구 돌마로90번길 8,경기도,성남시,매일,121,2001,의류+신발+가정용품+음식점+병원,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,37.34928693,127.1117684,
a31022008,금호행복시장,경기도 성남시 분당구 수내동 32,경기도 성남시 분당구 내정로 165번길 38,경기도,성남시,매일,170,1994,농산물+축산물+가공식품+의류+신발+가정용품+음식점+학원 병원,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.37665581,127.1162348,031-711-7268
a31022013,청구문화시장,경기도 성남시 분당구 수내동 32,경기도 성남시 분당구 내정로165번길 38,경기도,성남시,매일,97,1992,가공식품+의류+신발+음식점,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.37665581,127.1162348,031-711-0826
a31020014,코코프라자시장,경기도 성남시 서현동 248-5번지 1층,경기도 성남시 서현로210번길 20,경기도,성남시,매일,66,1994,가공식품+의류+신발+가정용품+음식점+병원,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,37.38586536,127.1240404,031-707-7315
a31021001,중앙공설시장,경기도 성남시 수정구 태평동 3681,경기도 성남시 수정구 수정로 109,경기도,성남시,매일,115,2006,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,37.44139541,127.1321099,031-755-9222
a31020002,하대원공설시장,경기도 성남시 중원구 하대원동 266의1,경기도 성남시 마지로 118,경기도,성남시,매일,100,2018,농산물+축산물+수산물+가공식품,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,37.42746296,127.1422423,031-721-5572
a31020003,상대원시장,경기도 성남시 중원구 상대원동 2985-1,경기도 성남시 중원구 희망로344번길 6,경기도,성남시,매일,70,1996,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+학원 병원,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,37.43597453,127.158778,031-746-1304
a31020017,성남남한산성시장,경기도 성남시 중원구 은행동 1565 1,경기도 성남시 중원구 산성대로518번길 7,경기도,성남시,매일,70,2013,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+병원,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,N,N,37.4569514,127.1644284,031-745-9848
a31020020,모란전통기름시장,경기도 성남시 중원구 성남동 4222,경기도 성남시 중원구 둔촌대로 83번길 7,경기도,성남시,매일,52,2018,농산물+가공식품,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,37.4309121,127.1280127,031-751-4214
a31022001,금광시장,경기도 성남시 중원구 금광동 4622,경기도 성남시 산성대로426번길 5,경기도,성남시,매일,20,1991,농산물+축산물+수산물+가공식품+의류+음식점,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,37.45003783,127.159904,
a31022002,단대전통시장,경기도 성남시 중원구 금광동 10,경기도 성남시 중원구 광명로289,경기도,성남시,매일,85,1993,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+휴대폰 매장,Y,Y,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.44434033,127.1583278,031-749-8982
a31022004,모란종합시장,경기도 성남시 중원구 성남동 4182,경기도 성남시 중원구 성남대로 1127,경기도,성남시,4일+9일,62,1974,농산물+가공식품+음식점,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,37.4303345,127.1288817,031-751-4214
a31022006,은행시장,경기도 성남시 중원구 은행2동 1553,경기도 성남시 중원구 산성대로 526,경기도,성남시,매일,50,2014,농산물+축산물+수산물+가공식품+의류+가정용품,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,Y,Y,37.45758204,127.164475,031-744-9858
b31020002,모란가축시장,경기도 성남시 중원구 성남동 4182,경기도 성남시 중원구 성남대로 1127,경기도,성남시,매일,40,2017,축산물+가공식품+음식점,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,N,Y,37.4303345,127.1288817,
a31012001,권선종합시장,경기도 수원시 권선동 1051,경기도 수원시 권선구 세권로 185 권선동 ,경기도,수원시,매일,108,2005,농산물+축산물+가공식품+음식점,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.25610696,127.0245738,031-235-0903
a31014001,구매탄시장,경기도 수원시 영통구 매탄동 172-72,경기도 수원시 영통구 매여울로53번길 50-1 매탄동 ,경기도,수원시,매일,118,2006,농산물+축산물+수산물+의류+음식점,Y,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.27260017,127.0419199,031-211-3936
a31010005,정자시장,경기도 수원시 장안구 정자동 73-10,경기도 수원시 장안구 수성로261번길 16 정자동 ,경기도,수원시,매일,150,2009,농산물+축산물+수산물+가공식품+의류+음식점,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.29069027,127.0008813,031-252-0290
a31010009,장안문거북시장,경기도 수원시 장안구 영화동 250-1,경기도 수원시 장안구 수성로382번길 24 영화동 ,경기도,수원시,매일,119,2008,농산물+축산물+음식점,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,37.29315046,127.0139733,031-252-7800
a31010010,반딧불이연무시장,경기도 수원시 장안구 연무동 249,경기도 수원시 장안구 월드컵로428번길 10 연무동 ,경기도,수원시,매일,194,2011,농산물+축산물+수산물+가공식품+의류+음식점,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.29395937,127.0259733,031-308-9944
a31011001,조원시장,경기도 수원시 장안구 조원동 743-7,경기도 수원시 장안구 조원로89번길 8 조원동 ,경기도,수원시,매일,135,2008,농산물+축산물+수산물+의류+음식점,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,37.30078207,127.0153395,031-244-7705
a31011002,북수원시장,경기도 수원시 장안구 파장동 572-35,경기도 수원시 장안구 파장로82번길 9 파장동 ,경기도,수원시,매일,150,2005,농산물+축산물+수산물+음식점,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,37.30702654,126.9921266,031-268-7526
a31010003,시민상가시장,경기도 수원시 팔달구 영동 10-18,경기도 수원시 팔달구 팔달문로4번길 19 영동 ,경기도,수원시,매일,54,2005,의류,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,N,37.27667892,127.0179844,031-255-6637
a31010004,영동시장,경기도 수원시 팔달구 영동 8,경기도 수원시 팔달구 수원천로255번길 6 영동 ,경기도,수원시,매일,285,2006,한복 커튼 의류 잡화,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,37.27681569,127.0186497,031-251-0171
a31010006,지동시장,경기도 수원시 팔달구 지동 402-2,경기도 수원시 팔달구 팔달문로 19 지동 ,경기도,수원시,매일,219,2005,축산물+수산물+가공식품+음식점,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,37.27788606,127.0196309,031-256-0202
a31010007,화서시장,경기도 수원시 팔달구 화서동 97-1,경기도 수원시 팔달구 동말로 72 화서동 ,경기도,수원시,매일,229,2005,농산물+축산물+수산물+가공식품+의류+음식점,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.27858147,127.0020973,031-241-4578
a31010008,미나리광시장,경기도 수원시 팔달구 지동 400-12,경기도 수원시 팔달구 수원천로 266-4 지동 ,경기도,수원시,매일,53,2006,농산물+축산물+수산물+음식점,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.27727335,127.0196307,031-254-7795
a31010011,매산시장,경기도 수원시 팔달구 매산로2가 90,경기도 수원시 팔달구 권선로 477 매산로2가 ,경기도,수원시,매일,103,2011,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,N,N,37.26457025,127.0033483,031-224-7893
a31013001,구천동공구상가시장,경기도 수원시 팔달구 구천동 86-1,경기도 수원시 팔달구 수원천로199번길 5 구천동 ,경기도,수원시,매일,94,2005,기계 공구 공산품 등,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,37.27211975,127.0173519,031-244-0980
a31013002,남문로데오시장,경기도 수원시 팔달구 교동 3-6,경기도 수원시 팔달구 행궁로 88 교동 ,경기도,수원시,매일,174,2005,가공식품+의류+신발+음식점+기타소매 근린생활서비스,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.27463391,127.0155146,031-258-0336
a31013003,못골종합시장,경기도 수원시 팔달구 지동 415,수원시 팔달구 수원천로254 팔달주차타워 23호(지동),경기도,수원시,매일,86,2005,농산물+축산물+수산물+가공식품,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.27618303,127.0200138,031-246-5638
a31013004,남문패션1번가시장,경기도 수원시 팔달구 영동 43-5,경기도 수원시 팔달구 정조로758번길 24 영동 ,경기도,수원시,매일,156,2005,의류+신발+음식점+잡화 모자 금은보석 카페,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,37.27562469,127.0181081,031-255-5226
a31013007,팔달문시장,경기도 수원시 팔달구 영동 6-14,경기도 수원시 팔달구 정조로770번길 17 영동 ,경기도,수원시,매일,220,2005,의류,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.27685014,127.0178829,031-251-5153
a31150005,도일시장,경기도 시흥시 거모동 1669-22,경기도 시흥시 도일로 100의 4,경기도,시흥시,3일+8일,74,1953,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,37.33951971,126.784087,031-494-5515
a31150001,시흥삼미시장,경기도 시흥시 신천동 738-4,경기도 시흥시 삼미시장2길 35,경기도,시흥시,매일,152,1987,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+화장품 미용실,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,37.44040657,126.7838201,031-311-7006
