시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
동해남부재래시장,상설장,강원특별자치도 동해시 청운1길 29,강원특별자치도 동해시 동회동 442,매일,37.48761131,129.1035481,208,농산물+축산물+의류+가정용품+음식점,,,Y,Y,1995,033-522-2100,2024-11-04,B553077,소상공인시장진흥공단
도계중앙시장,상설장,강원특별자치도 삼척시 도계읍 도계로4길 20,강원특별자치도 삼척시 도계읍 도계리 390-1,매일,37.23514806,129.0451104,30,가공식품+음식점+잡화,,,Y,Y,1963,,2024-11-04,B553077,소상공인시장진흥공단
도계전두시장,상설장,강원특별자치도 삼척시 도계읍 전두시장길 6-1,강원특별자치도 삼척시 도계읍 전두리 81-20,매일,37.22913383,129.0428073,61,농산물+축산물+수산물+가공식품+의류+음식점,,www.전두시작.kr,Y,Y,1951,,2024-11-04,B553077,소상공인시장진흥공단
삼척번개시장,상설장,강원특별자치도 삼척시 중앙로 14-27,강원특별자치도 삼척시 사직동 50-11,매일,37.43090173,129.178574,20,농산물+수산물,,,Y,Y,1927,,2024-11-04,B553077,소상공인시장진흥공단
삼척중앙시장,상설장+5일장,강원특별자치도 삼척시 진주로 12-21,강원특별자치도 삼척시 남양동 55-4,2일+7일,37.44211915,129.1646216,282,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1975,033-572-0909,2024-11-04,B553077,소상공인시장진흥공단
속초종합중앙시장,상설장,강원특별자치도 속초시 중앙로147번길 16,강원특별자치도 속초시 중앙동 471-4,매일,38.20452003,128.5901927,257,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,https://www.sokcho-central.co.kr/,Y,Y,1990,033-633-3501,2024-11-04,B553077,소상공인시장진흥공단
속초관광수산시장(구 속초중앙전통시장),상설장,강원특별자치도 속초시 중앙시장로 6길 4,강원특별자치도 속초시 중앙동 493-51,매일,38.20540516,128.5893558,350,농산물+축산물+수산물+가공식품+의류+음식점,,,Y,Y,1960,033-635-8433,2024-11-04,B553077,소상공인시장진흥공단
양구중앙시장,상설장+5일장,강원특별자치도 양구군 중앙길 68,강원특별자치도 양구군 상리 235,5일+10일,38.10410757,127.9893261,58,농산물+의류+음식점,,,Y,Y,1985,033-481-3594,2024-11-04,B553077,소상공인시장진흥공단
양양전통시장,상설장+5일장,강원특별자치도 양양군 양양읍 남문5길 9,강원특별자치도 양양군 남문리 57,4일+9일,38.07506326,128.6232929,68,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1986,033-671-2878,2024-11-04,B553077,소상공인시장진흥공단
서부공설시장,상설장,강원특별자치도 영월군 영월읍 서부시장길 8-1,강원특별자치도 영월군 영월읍 하송리 5-10,매일,37.18292558,128.4663073,41,농산물+축산물+수산물+가공식품+의류+음식점,,,Y,Y,1959,033-372-5500,2024-11-04,B553077,소상공인시장진흥공단
영월종합상가시장,상설장,강원특별자치도 영월군 영월읍 하송안 길,강원특별자치도 영월군 영월읍 하송리 11-3,매일,37.18225358,128.4667334,99,농산물+의류+신발+가정용품+음식점,,,Y,Y,1985,033-374-5296,2024-11-04,B553077,소상공인시장진흥공단
서부아침시장,상설장,강원특별자치도 영월군 중앙로 30-1,강원특별자치도 영월군 영월읍 영흥리 947-57,매일,37.18331647,128.466754,44,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1959,033-373-1374,2024-11-04,B553077,소상공인시장진흥공단
문막시장,상설장+5일장,강원특별자치도 원주시 문막읍 문막시장1길 52-10,강원특별자치도 원주시 문막읍 문막리 240-1,3일+8일,37.30602942,127.8153678,90,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1959,,2024-11-04,B553077,소상공인시장진흥공단
북원상가시장,상설장,강원특별자치도 원주시 북원상가길 13,강원특별자치도 원주시 태장2동 1379-23,매일,37.38438529,127.9488422,22,축산물+의류+신발+가정용품,,,Y,Y,1991,033-731-3491,2024-11-04,B553077,소상공인시장진흥공단
중앙시민전통시장,상설장,강원특별자치도 원주시 자유시장길 26,강원특별자치도 원주시 중앙동 42-3,매일,37.35170226,127.9496495,78,농산물+축산물+수산물+가공식품+의류+신발+음식점,,,Y,Y,1983,033-732-6501,2024-11-04,B553077,소상공인시장진흥공단
자유시장,상설장,강원특별자치도 원주시 중앙시장길 11,강원특별자치도 원주시 중앙동 57,매일,37.35023035,127.9486266,438,가공식품+의류+신발+가정용품+음식점,,,Y,Y,1965,033-746-5037,2024-11-04,B553077,소상공인시장진흥공단
미로예술원주중앙시장(원주중앙시장),상설장,강원특별자치도 원주시 중앙시장길 6,강원특별자치도 원주시 중앙동 60-56,매일,37.35000952,127.9491994,556,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1965,033-733-2570,2024-11-04,B553077,소상공인시장진흥공단
원주남부시장,상설장,강원특별자치도 원주시 치악로 1803,강원특별자치도 원주시 명륜동 26,매일,37.34301479,127.9544052,205,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1965,033-766-1110,2024-11-04,B553077,소상공인시장진흥공단
민속풍물시장,상설장+5일장,강원특별자치도 원주시 풍물시장길 30,강원특별자치도 원주시 평원동 134-1,2일+7일,37.34898786,127.9541184,104,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1989,033-746-9114,2024-11-04,B553077,소상공인시장진흥공단
기린전통시장,상설장+5일장,강원특별자치도 인제군 기린면 기린로 17,강원특별자치도 인제군 기린면 현리 639-9번지,4일+9일,37.95397964,128.3168509,91,농산물+축산물+가공식품+의류+신발+음식점,,,N,N,1956,,2024-11-04,B553077,소상공인시장진흥공단
원통시장,상설장+5일장,강원특별자치도 인제군 북면 원통로 178번길 7-1,강원특별자치도 인제군 북면 원통리 647-40,2일+7일,38.1225741,128.204617,55,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+네일샵 미용실,,,Y,Y,1956,033-461-2486,2024-11-04,B553077,소상공인시장진흥공단
인제시장,상설장+5일장,강원특별자치도 인제군 인제읍 인제로 178번길 14,강원특별자치도 인제군 인제읍 상동리 258-32번지,4일+9일,38.06709944,128.1710768,92,농산물+축산물+가공식품+의류+신발+가정용품+음식점+네일샵 미용실,,,Y,Y,1955,033-463-3336,2024-11-04,B553077,소상공인시장진흥공단
고한구공탄시장(고한시장),상설장+5일장,강원특별자치도 정선군 고한읍 고한 4길 38-6,강원특별자치도 정선군 고한읍 고한리 62-14,1일+6일,37.20132181,128.8540555,96,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1967,033-591-4989,2024-11-04,B553077,소상공인시장진흥공단
정선사북시장,상설장,강원특별자치도 정선군 사북읍 사북2길 6 - 1,강원특별자치도 정선군 사북읍 사북리 366-59,매일,37.22735829,128.8162148,71,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1965,033-591-7277,2024-11-04,B553077,소상공인시장진흥공단
임계사통팔달시장,상설장+5일장,강원특별자치도 정선군 송계3길 12,강원특별자치도 정선군 송계리 774-5,5일+10일,37.49511059,128.852576,75,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1965,033-562-2939,2024-11-04,B553077,소상공인시장진흥공단
정선아리랑시장,상설장+5일장,강원특별자치도 정선군 정선읍 봉양7길 39,강원특별자치도 정선군 정선읍 봉양리 349-20,2일+7일,37.3803854,128.6652325,163,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+특산품 등,,,Y,Y,1966,033-563-6200,2024-11-04,B553077,소상공인시장진흥공단
신철원시장,상설장+5일장,강원특별자치도 철원군 갈말읍 삼부연로18번길 16-2,강원특별자치도 철원군 갈말읍 신철원리 697,3일+8일,38.14472692,127.3100254,70,농산물+축산물+가공식품+음식점,,,Y,Y,1980,033-452-5350,2024-11-04,B553077,소상공인시장진흥공단
동송시장,상설장+5일장,강원특별자치도 철원군 동송읍 이평로 47번길 16,강원특별자치도 철원군 동송읍 이평리 680-1,5일+10일,38.2088079,127.218867,35,농산물+수산물+가공식품+음식점,,,Y,Y,1982,033-455-2230,2024-11-04,B553077,소상공인시장진흥공단
동송전통시장,상설장+5일장,강원특별자치도 철원군 동송읍 이평로 47번길 19,강원특별자치도 철원군 동송읍 이평리 678-49,5일+10일,38.2089011,127.2192783,120,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,,,Y,Y,1981,033-455-6262,2024-11-04,B553077,소상공인시장진흥공단
와수시장,상설장+5일장,강원특별자치도 철원군 서면 와수로 184번길 6-3,강원특별자치도 철원군 서면 와수리 1171-92,1일+6일,38.23945913,127.4394932,60,농산물+축산물+가공식품+의류+신발+음식점,,,Y,Y,1978,033-458-9688,2024-11-04,B553077,소상공인시장진흥공단
춘천동부시장,상설장,강원특별자치도 춘천시 동부시장길8,강원특별자치도 춘천시 운교동 183,매일,37.87723546,127.7341739,130,가공식품+의류+음식점,,,Y,Y,1988,033-254-2235,2024-11-04,B553077,소상공인시장진흥공단
춘천서부시장,상설장,강원특별자치도 춘천시 서부대성로12,강원특별자치도 춘천시 소양로2가 172-1,매일,37.88480147,127.7246493,125,의류+가정용품+음식점,,,Y,Y,1992,033-242-5004,2024-11-04,B553077,소상공인시장진흥공단
춘천번개시장,상설장,강원특별자치도 춘천시 소양로212 새마을금고2층,강원특별자치도 춘천시 소양로1가 93-10,매일,37.89183608,127.7263031,55,농산물+수산물+음식점,,,Y,Y,2014,,2024-11-04,B553077,소상공인시장진흥공단
제일종합시장,상설장,강원특별자치도 춘천시 약사고개길13,강원특별자치도 춘천시 죽림동 32,매일,37.87748571,127.7260713,244,의류+신발+음식점,,,Y,Y,1985,033-254-7320,2024-11-04,B553077,소상공인시장진흥공단
춘천풍물시장,상설장+5일장,강원특별자치도 춘천시 영서로 2352-54,강원특별자치도 춘천시 온의동 148-1,2일+7일,37.86623705,127.7195843,143,농산물+수산물+음식점,,,Y,Y,2010,033-253-5814,2024-11-04,B553077,소상공인시장진흥공단
춘천중앙시장,상설장,강원특별자치도 춘천시 중앙로77번길 4-4,강원특별자치도 춘천시 중앙로2가 42-18,매일,37.87848771,127.7257515,177,의류+신발+음식점,,,Y,Y,1960,,2024-11-04,B553077,소상공인시장진흥공단
춘천후평시장,상설장,강원특별자치도 춘천시 효평길 104,강원특별자치도 춘천시 후평동 691-22,매일,37.88078864,127.7467911,67,농산물+축산물+음식점,,,Y,Y,2009,033-256-7595,2024-11-04,B553077,소상공인시장진흥공단
황지자유시장,상설장,강원특별자치도 태백시 시장안길 18 - 1,강원특별자치도 태백시 통동 75-32,매일,37.17304422,129.0412281,145,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1971,033-552-2634,2024-11-04,B553077,소상공인시장진흥공단
장성중앙시장,상설장,강원특별자치도 태백시 장성1길 190,강원특별자치도 태백시 장성동 159-2,매일,37.10068429,129.009713,55,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1977,033-581-6521,2024-11-04,B553077,소상공인시장진흥공단
평창대화시장,상설장+5일장,강원특별자치도 평창군 대화면 대화시장 2길 41,강원특별자치도 평창군 대화면 대화리 1001-163,4일+9일,37.50098758,128.4539942,49,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1958,033-334-6555,2024-11-04,B553077,소상공인시장진흥공단
봉평전통시장(봉평시장),상설장+5일장,강원특별자치도 평창군 봉평면 허생원장터길15,강원특별자치도 평창군 봉평면 창동리 397-34,2일+7일,37.61558646,128.3772728,70,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1957,033-336-0272,2024-11-04,B553077,소상공인시장진흥공단
진부전통시장,상설장+5일장,강원특별자치도 평창군 진부면 진부새싹길 28-7,강원특별자치도 평창군 진부면 하진부리 206-95,3일+8일,37.63821324,128.5579223,109,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1958,033-335-7330,2024-11-04,B553077,소상공인시장진흥공단
평창올림픽시장(평창전통시장),상설장+5일장,강원특별자치도 평창군 평창읍 평창중앙로 27-26,강원특별자치도 평창군 평창읍 하리 139-1,5일+10일,37.3672356,128.3947764,54,가공식품,,,Y,Y,1955,033-332-8804,2024-11-04,B553077,소상공인시장진흥공단
홍천시장,상설장,강원특별자치도 홍천군 홍천읍 번영로 53번지 일원,강원특별자치도 홍천군 홍천읍 신장대리 8-128번지 일원,매일,37.69055321,127.8862016,98,농산물+수산물+음식점,,,Y,Y,2002,,2024-11-04,B553077,소상공인시장진흥공단
홍천중앙시장,상설장,강원특별자치도 홍천군 홍천읍 홍천로 8길 17,강원특별자치도 홍천군 홍천읍 신장대리 5-3,매일,37.69108298,127.886165,106,농산물+축산물+수산물+가공식품+음식점,,http://hc5959.com,Y,N,1981,,2024-11-04,B553077,소상공인시장진흥공단
화천시장,상설장+5일장,강원특별자치도 화천군 화천읍 중앙로 24길12,강원특별자치도 화천군 화천읍 하리 50-7,3일+8일,38.10390585,127.7064275,99,농산물+가공식품+음식점,,,Y,Y,1954,033-442-4013,2024-11-04,B553077,소상공인시장진흥공단
횡성시장,상설장+5일장,강원특별자치도 횡성군 횡성읍 삼일로 4-2,강원특별자치도 횡성군 횡성읍 읍상리 277-3,1일+6일,37.48980622,127.9866166,135,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1980,033-342-2389,2024-11-04,B553077,소상공인시장진흥공단
가평잣고을시장,상설장+5일장,경기도 가평군 가평읍 장터2길12 204호,경기도 가평군 읍내리 405,5일+10일,37.82972123,127.5152015,119,음식점,,,Y,Y,2015,031-582-8181,2024-11-04,B553077,소상공인시장진흥공단
설악눈메골시장,상설장+5일장,경기도 가평군 설악면 신천중앙로 104-1,경기도 가평군 설악면 신천리 413-14,1일+6일,37.6773832,127.4921099,94,농산물+음식점,,,Y,Y,2016,031-585-9983,2024-11-04,B553077,소상공인시장진흥공단
청평여울시장,상설장+5일장,경기도 가평군 청평면 시장중앙로19,경기도 가평군 청평면 청평리 81-2,2일+7일,37.73476563,127.4158572,79,음식점,,,Y,Y,2018,031-584-0948,2024-11-04,B553077,소상공인시장진흥공단
능곡시장,상설장+5일장,경기도 고양시 덕양구 능곡로 12의 9,경기도 고양시 덕양구 토당동 347,2일+7일,37.62134419,126.8207793,41,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2000,031-973-3727,2024-11-04,B553077,소상공인시장진흥공단
원당시장,상설장,경기도 고양시 덕양구 호국로 790번길 17,경기도 고양시 덕양구 성사동 697-14,매일,37.65628119,126.8372523,68,농산물+축산물+수산물+가공식품+의류+신발+가정용품,,,N,Y,,031-963-0013,2024-11-04,B553077,소상공인시장진흥공단
덕이동패션1번지,상설장,경기도 고양시 일산서구 덕이동 탄중로101번길 13,경기도 고양시 일산서구 덕이동 384-1,매일,37.69302668,126.7557864,45,의류+신발,,,Y,Y,2001,031-917-6669,2024-11-04,B553077,소상공인시장진흥공단
일산시장,상설장,경기도 고양시 일산서구 일청로 12번길 9,경기도 고양시 일산서구 일산동 617-20,매일,37.68562383,126.7708323,88,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,https://ilsan38.modoo.at,Y,Y,,031-975-2232,2024-11-04,B553077,소상공인시장진흥공단
제일쇼핑시장,상설장,경기도 과천시 별양상가 2로 14,경기도 과천시 별양동 1-13,매일,37.42733209,126.9929952,80,가공식품+의류+신발+가정용품+음식점+잡화,,http://jeilshopping.co.kr/,Y,Y,2005,,2024-11-04,B553077,소상공인시장진흥공단
과천새서울프라자시장,상설장,경기도 과천시 별양상가 2로 20,경기도 과천시 별양동 1-18,매일,37.42682749,126.9925547,200,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2004,02-3679-1400,2024-11-04,B553077,소상공인시장진흥공단
광명새마을시장,상설장,경기도 광명시 광명로 831번지 4의1,경기도 광명시 광명동 342-12,매일,37.47365007,126.8513959,179,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,,,Y,Y,1986,02-2614-5292,2024-11-04,B553077,소상공인시장진흥공단
광명전통시장,상설장,경기도 광명시 광이로13번길 17-5,경기도 광명시 광명동 158-44,매일,37.47994501,126.8561659,315,농산물+축산물+수산물+가공식품+음식점,,,Y,Y,1972,02-2614-0006,2024-11-04,B553077,소상공인시장진흥공단
경안시장,상설장+5일장,경기도 광주시 경안로25번길 14-1,경기도 광주시 경안동 33-16,3일+8일,37.40885891,127.25703,91,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,,,Y,Y,2005,031-761-2800,2024-11-04,B553077,소상공인시장진흥공단
구리전통시장,상설장,경기도 구리시 검배로 6번길 31,경기도 구리시 수택동 417,매일,37.59953937,127.1399081,321,농산물+가공식품+의류+음식점,,www.gurisijang.kr,Y,Y,1977,031-568-8700,2024-11-04,B553077,소상공인시장진흥공단
군포역전시장,상설장,경기도 군포시 군포로538번길 18,경기도 군포시 당동 749,매일,37.35386925,126.9476651,60,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1970,031-455-3366,2024-11-04,B553077,소상공인시장진흥공단
산본시장,상설장,경기도 군포시 산본천로183번길 6 산본동,경기도 군포시 산본동 221-5,매일,37.36966875,126.938123,220,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,http:산본전통시장.kr,Y,Y,1985,031-399-4248,2024-11-04,B553077,소상공인시장진흥공단
통진시장,상설장,경기도 김포시 서암로84번길 29,경기도 김포시 서암리 721-8,매일,37.69129373,126.5997032,78,농산물+가공식품+신발+가정용품+음식점,,www.tongjinmarket.or.kr,N,N,2012,031-990-0520,2024-11-04,B553077,소상공인시장진흥공단
양곡오라니장터시장,상설장,경기도 김포시 양곡1로 54,경기도 김포시 양촌읍 양곡리 419-4 16호,매일,37.65536924,126.6235242,70,농산물+축산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2016,031-984-5906,2024-11-04,B553077,소상공인시장진흥공단
양곡시장,상설장,경기도 김포시 양촌읍 양곡1로 42-2,경기도 김포시 양촌읍 양곡리 415-6,매일,37.65446358,126.623824,70,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,2013,,2024-11-04,B553077,소상공인시장진흥공단
남양주장현 전통시장,상설장+5일장,경기도 남양주시 진접읍 장현로 77의100,경기도 남양주시 장현리 380-15,2일+7일,37.71836516,127.1827774,172,농산물,,http://장현시장.kr,Y,N,1995,031-572-0026,2024-11-04,B553077,소상공인시장진흥공단
동두천제일시장,상설장,경기도 동두천시 정장로 11-12,경기도 동두천시 생연동 823,매일,37.90517383,127.0522256,45,음식점,,,Y,Y,2005,,2024-11-04,B553077,소상공인시장진흥공단
중앙시장,상설장,경기도 동두천시 중앙로285번길 9,경기도 동두천시 생연동 607-27,매일,37.90690295,127.0537505,173,농산물+축산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1967,031-861-6938,2024-11-04,B553077,소상공인시장진흥공단
동두천큰시장,상설장+5일장,경기도 동두천시 큰시장로 52,경기도 동두천시 생연동 698-1,5일+10일,37.90048898,127.0520744,104,농산물,,,Y,Y,1960,031-859-1233,2024-11-04,B553077,소상공인시장진흥공단
세아프라자상가,상설장,경기도 동두천시 큰시장로 64,,매일,37.90072388,127.0505851,385,의류+신발+가정용품,,,Y,Y,2008,031-862-8503,2024-11-04,B553077,소상공인시장진흥공단
청과물시장,상설장,경기도 부천시 소사구 경인로206번길 43,경기도 부천시 소사구 심곡본동 659,매일,37.48158095,126.7779919,16,농산물,,,N,N,1973,,2024-11-04,B553077,소상공인시장진흥공단
역곡남부시장,상설장,경기도 부천시 소사구 부광로16번길 33,경기도 부천시 소사구 괴안동 107-8,매일,37.48253123,126.8115462,68,농산물+축산물+가공식품,,,Y,N,1983,070-7376-2804,2024-11-04,B553077,소상공인시장진흥공단
조공시장,상설장,경기도 부천시 소사구 안곡로 29,경기도 부천시 소사구 괴안동 70-20,매일,37.47917913,126.805766,55,농산물+축산물+가공식품+의류+음식점,,,N,N,1987,,2024-11-04,B553077,소상공인시장진흥공단
부천한신시장,상설장,경기도 부천시 소사구 은성로68번길 46,경기도 부천시 소사구 소사본동 200-1,매일,37.47312039,126.7980266,95,농산물+축산물+가공식품,,,Y,Y,1986,032-341-5372,2024-11-04,B553077,소상공인시장진흥공단
부천자유시장,상설장,경기도 부천시 소사구 자유로 33,경기도 부천시 소사구 심곡본동 543,매일,37.48410744,126.7799517,261,농산물+축산물+가공식품,,,Y,N,1947,032-656-1892,2024-11-04,B553077,소상공인시장진흥공단
소사종합시장,상설장,경기도 부천시 소사구 호현로474번길 13-2,경기도 부천시 소사구 소사본동 78-12,매일,37.4796637,126.7939615,48,농산물+가공식품,,,Y,Y,1980,032-343-8155,2024-11-04,B553077,소상공인시장진흥공단
고리울동굴시장,상설장,경기도 부천시 오정구 고리울로64번길 36,경기도 부천시 오정구 고강동 398-5,매일,37.52554379,126.8222757,74,농산물+가공식품,,,N,Y,1990,032-679-9217,2024-11-04,B553077,소상공인시장진흥공단
오정시장,상설장,경기도 부천시 오정구 부천로 470번길 50,경기도 부천시 오정구 오정동 582-30,매일,37.52596962,126.7857002,77,농산물+축산물,,,N,N,1992,,2024-11-04,B553077,소상공인시장진흥공단
원종종합시장,상설장,경기도 부천시 오정구 삼작로 394,경기도 부천시 오정구 원종동 372-1,매일,37.51971502,126.8055705,51,농산물+축산물+수산물,,,Y,Y,1987,032-681-0985,2024-11-04,B553077,소상공인시장진흥공단
원종중앙시장,상설장,경기도 부천시 오정구 성오로 124번길 47,경기도 부천시 오정구 원종동 209-5,매일,37.52507056,126.8023099,60,농산물+축산물,,,Y,Y,1991,,2024-11-04,B553077,소상공인시장진흥공단
부천제일시장,상설장,경기도 부천시 오정구 원종로85번길 84,경기도 부천시 오정구 원종동 296,매일,37.52795693,126.8097237,164,농산물+축산물+가공식품,,,N,Y,1981,,2024-11-04,B553077,소상공인시장진흥공단
신흥시장,상설장,경기도 부천시 오정구 평천로 719,경기도 부천시 오정구 삼정동 314-13,매일,37.51533645,126.7705849,65,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,https://hangangcenter.modoo.at/,Y,Y,1984,032-672-0319,2024-11-04,B553077,소상공인시장진흥공단
역곡상상시장,상설장,경기도 부천시 원미구 부일로749번길 31,경기도 부천시 원미구 역곡동 84-7,매일,37.48757743,126.8118954,99,농산물+가공식품+의류,,,Y,Y,1984,032-343-8562,2024-11-04,B553077,소상공인시장진흥공단
원미부흥시장,상설장,경기도 부천시 원미구 부천로96번길 80,경기도 부천시 원미구 원미동 119-4,매일,37.49203622,126.7898115,54,농산물+축산물+가공식품,,,Y,N,1980,032-667-1571,2024-11-04,B553077,소상공인시장진흥공단
중동사랑시장(부천중동시장),상설장,경기도 부천시 원미구 부흥로200번길 25,경기도 부천시 원미구 중동 724,매일,37.49497098,126.764586,102,농산물+가공식품,,,Y,Y,1995,070-737-7171,2024-11-04,B553077,소상공인시장진흥공단
부천상동시장,상설장,경기도 부천시 원미구 석천로60번길 51,경기도 부천시 원미구 상동 236-5,매일,37.49235745,126.7642776,131,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1986,032-611-3691,2024-11-04,B553077,소상공인시장진흥공단
강남시장,상설장,경기도 부천시 원미구 옥산로154번길 21,경기도 부천시 원미구 도당동 276-4,매일,37.50749709,126.7814664,113,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1985,032-676-8000,2024-11-04,B553077,소상공인시장진흥공단
