시장명,별점,리뷰
양천구 목2동시장,,"['꼬잉91 리뷰 167 사진 16 팔로우 좋아요! 볼거리가 많아요 반응 남기기 방문일 24.10.14.월 2024년 10월 14일 월요일 1번째 방문 인증 수단 영수증', '나야나5399 리뷰 1,920 사진 17 팔로우 굿 볼거리가 많아요 반응 남기기 방문일 23.7.20.목 2023년 7월 20일 목요일 1번째 방문 인증 수단 영수증', 'blu**** 리뷰 569 사진 285 팔로우 굿 친절해요 반응 남기기 방문일 23.5.5.금 2023년 5월 5일 금요일 1번째 방문 인증 수단 영수증', '자운88 리뷰 701 사진 98 팔로우 굿 반응 남기기 방문일 22.9.16.금 2022년 9월 16일 금요일 1번째 방문 인증 수단 영수증', 'lh**** 리뷰 272 사진 3 팔로우 굿 반응 남기기 방문일 22.6.19.일 2022년 6월 19일 일요일 1번째 방문 인증 수단 영수증', 'jan**** 리뷰 1,240 사진 4 팔로우 좋아요 반응 남기기 방문일 22.6.19.일 2022년 6월 19일 일요일 2번째 방문 인증 수단 영수증', 'jan**** 리뷰 1,240 사진 4 팔로우 좋아요 반응 남기기 방문일 22.6.7.화 2022년 6월 7일 화요일 1번째 방문 인증 수단 영수증', '양파5664 리뷰 914 사진 2 팔로우 굿 반응 남기기 방문일 22.6.1.수 2022년 6월 1일 수요일 1번째 방문 인증 수단 영수증', '듀스60 리뷰 614 팔로우 ㅇㄷ 반응 남기기 방문일 22.4.13.수 2022년 4월 13일 수요일 2번째 방문 인증 수단 영수증', '슈슈지수 리뷰 717 사진 10 팔로워 1 팔로우 친절하고 좋아요! 반응 남기기 방문일 22.3.5.토 2022년 3월 5일 토요일 1번째 방문 인증 수단 영수증']"
양천구 목동깨비시장,4.14,"['ura**** 리뷰 1,826 사진 1,653 팔로우 친절해요 반응 남기기 방문일 24.9.15.일 2024년 9월 15일 일요일 1번째 방문 인증 수단 영수증', '김선미73 리뷰 1,150 사진 4 팔로우 1 볼거리가 많아요 반응 남기기 방문일 24.7.3.수 2024년 7월 3일 수요일 5번째 방문 인증 수단 영수증', 'eu**** 리뷰 449 사진 4 팔로우 좋아요~ 친절해요 반응 남기기 방문일 24.4.13.토 2024년 4월 13일 토요일 1번째 방문 인증 수단 영수증', 'aro**** 리뷰 1,023 사진 1 팔로우 굿 볼거리가 많아요 +4 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 23.7.10.월 2023년 7월 10일 월요일 1번째 방문 인증 수단 영수증', '보물1호보물2호 리뷰 848 팔로우 신선해요 친절해요 반응 남기기 방문일 23.7.2.일 2023년 7월 2일 일요일 1번째 방문 인증 수단 영수증', 'can**** 리뷰 1,745 팔로우 ㅎㅎ 반응 남기기 방문일 23.6.26.월 2023년 6월 26일 월요일 5번째 방문 인증 수단 영수증', 'yksjy 리뷰 1,975 사진 19 팔로우 친절하네요 친절해요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 23.6.14.수 2023년 6월 14일 수요일 1번째 방문 인증 수단 영수증', 'wes**** 리뷰 1,129 사진 6 팔로우 굿 반응 남기기 방문일 23.6.9.금 2023년 6월 9일 금요일 1번째 방문 인증 수단 영수증', 'can**** 리뷰 1,745 팔로우 ㅎㅎ 반응 남기기 방문일 23.5.25.목 2023년 5월 25일 목요일 4번째 방문 인증 수단 영수증', '재형맘63 리뷰 621 사진 2 팔로우 싱싱한 재료라 믿고 샀어요 품질이 좋아요 반응 남기기 방문일 23.5.13.토 2023년 5월 13일 토요일 1번째 방문 인증 수단 영수증']"
양천구 우성상가시장,4.22,"['하늘렘넌트 리뷰 1,158 사진 1,156 팔로워 68 팔로우 신영시장 에서 닭강정 샀어요 볼거리가 많아요 반응 남기기 방문일 4.26.토 2025년 4월 26일 토요일 2번째 방문 인증 수단 영수증', '하늘렘넌트 리뷰 1,158 사진 1,156 팔로워 68 팔로우 신영시장 에서 닭강정, 닭꼬치 샀어요 볼거리가 많아요 반응 남기기 방문일 3.8.토 2025년 3월 8일 토요일 1번째 방문 인증 수단 영수증', '꼬모43 리뷰 1,165 사진 548 팔로우 신영시장주차장 옆 시장보다 잠시 쉬어가는공간 카페 내부인테리어도깔끔하고 커피향도좋고 맛있네요^^ 친절해요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 23.9.16.토 2023년 9월 16일 토요일 1번째 방문 인증 수단 영수증 신영시장 24.11.24.일 신영시장 뉴제로마켓에는 맛있는 커피와 이색적인 상품들도 있으니 자주 방문해주십시요^^', 'kts**** 리뷰 1,157 사진 1 팔로우 굿 종류가 다양해요 반응 남기기 방문일 23.3.20.월 2023년 3월 20일 월요일 1번째 방문 인증 수단 영수증', 'TOTOKURO 04290820 리뷰 2,558 사진 835 팔로워 35 테마 1 팔로우 다른데는 안팔던 과자가 여기있네? 반응 남기기 방문일 23.3.10.금 2023년 3월 10일 금요일 1번째 방문 인증 수단 영수증', '아인이6 리뷰 226 사진 30 팔로우 좋아요좋아요 매장이 넓어요 반응 남기기 방문일 23.2.23.목 2023년 2월 23일 목요일 1번째 방문 인증 수단 영수증', '나민규 리뷰 4 사진 3 팔로우 좋아요 매장이 넓어요 반응 남기기 방문일 23.1.28.토 2023년 1월 28일 토요일 1번째 방문 인증 수단 영수증', '세보물맘 리뷰 941 사진 629 팔로워 15 팔로우 육질이 맛있는 삼겹살 품질이 좋아요 반응 남기기 방문일 22.12.12.월 2022년 12월 12일 월요일 1번째 방문 인증 수단 영수증', '639**** 리뷰 74 사진 32 팔로우 주차장 바로옆에있어 편리하고 커피가 맛있어요 친절하고 좋아요 주차하기 편해요 +4 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 22.11.17.목 2022년 11월 17일 목요일 4번째 방문 인증 수단 영수증', '람1810 리뷰 1,021 팔로우 신영시장 고객지원센터 새로생긴 카페, 라떼한잔 시설이 깔끔해요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 22.11.12.토 2022년 11월 12일 토요일 1번째 방문 인증 수단 영수증']"
양천구 신곡종합시장,,['mryoo99 리뷰 901 사진 226 팔로우 시설이 깔끔해요 반응 남기기 방문일 24.9.28.토 2024년 9월 28일 토요일 1번째 방문 인증 수단 영수증']
양천구 신영시장,4.22,"['하늘렘넌트 리뷰 1,158 사진 1,156 팔로워 68 팔로우 신영시장 에서 닭강정 샀어요 볼거리가 많아요 반응 남기기 방문일 4.26.토 2025년 4월 26일 토요일 2번째 방문 인증 수단 영수증', '하늘렘넌트 리뷰 1,158 사진 1,156 팔로워 68 팔로우 신영시장 에서 닭강정, 닭꼬치 샀어요 볼거리가 많아요 반응 남기기 방문일 3.8.토 2025년 3월 8일 토요일 1번째 방문 인증 수단 영수증', '꼬모43 리뷰 1,165 사진 548 팔로우 신영시장주차장 옆 시장보다 잠시 쉬어가는공간 카페 내부인테리어도깔끔하고 커피향도좋고 맛있네요^^ 친절해요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 23.9.16.토 2023년 9월 16일 토요일 1번째 방문 인증 수단 영수증 신영시장 24.11.24.일 신영시장 뉴제로마켓에는 맛있는 커피와 이색적인 상품들도 있으니 자주 방문해주십시요^^', 'kts**** 리뷰 1,157 사진 1 팔로우 굿 종류가 다양해요 반응 남기기 방문일 23.3.20.월 2023년 3월 20일 월요일 1번째 방문 인증 수단 영수증', 'TOTOKURO 04290820 리뷰 2,558 사진 835 팔로워 35 테마 1 팔로우 다른데는 안팔던 과자가 여기있네? 반응 남기기 방문일 23.3.10.금 2023년 3월 10일 금요일 1번째 방문 인증 수단 영수증', '아인이6 리뷰 226 사진 30 팔로우 좋아요좋아요 매장이 넓어요 반응 남기기 방문일 23.2.23.목 2023년 2월 23일 목요일 1번째 방문 인증 수단 영수증', '나민규 리뷰 4 사진 3 팔로우 좋아요 매장이 넓어요 반응 남기기 방문일 23.1.28.토 2023년 1월 28일 토요일 1번째 방문 인증 수단 영수증', '세보물맘 리뷰 941 사진 629 팔로워 15 팔로우 육질이 맛있는 삼겹살 품질이 좋아요 반응 남기기 방문일 22.12.12.월 2022년 12월 12일 월요일 1번째 방문 인증 수단 영수증', '639**** 리뷰 74 사진 32 팔로우 주차장 바로옆에있어 편리하고 커피가 맛있어요 친절하고 좋아요 주차하기 편해요 +4 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 22.11.17.목 2022년 11월 17일 목요일 4번째 방문 인증 수단 영수증', '람1810 리뷰 1,021 팔로우 신영시장 고객지원센터 새로생긴 카페, 라떼한잔 시설이 깔끔해요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 22.11.12.토 2022년 11월 12일 토요일 1번째 방문 인증 수단 영수증']"
양천구 경창시장,4.42,"['밀가루 인간 리뷰 969 사진 930 팔로워 28 팔로우 (경창약국) 친절하시고 복약지도 잘해주십니다~ 볼거리가 많아요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 2.8.토 2025년 2월 8일 토요일 1번째 방문 인증 수단 영수증', 'dks**** 리뷰 750 팔로우 좋아요 반응 남기기 방문일 23.4.14.금 2023년 4월 14일 금요일 1번째 방문 인증 수단 영수증', '푸른맘영애씨 리뷰 509 사진 215 팔로워 16 팔로우 소고기넣고미역국맛나게끓였어요~ 비싼 만큼 가치있어요 +2 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 22.12.15.목 2022년 12월 15일 목요일 1번째 방문 인증 수단 영수증', '규지 리뷰 15 사진 1 팔로워 1 팔로우 항상 즐겨찾아요 시설이 깔끔해요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 22.10.31.월 2022년 10월 31일 월요일 1번째 방문 인증 수단 영수증', 'ana**** 리뷰 663 사진 47 팔로우 Nice 반응 남기기 방문일 22.5.22.일 2022년 5월 22일 일요일 2번째 방문 인증 수단 영수증', '러브엔젤46 리뷰 1,773 사진 3 팔로우 긋 반응 남기기 방문일 22.5.22.일 2022년 5월 22일 일요일 4번째 방문 인증 수단 영수증', '그레이스8217 리뷰 259 사진 21 팔로우 굿 반응 남기기 방문일 22.5.22.일 2022년 5월 22일 일요일 1번째 방문 인증 수단 영수증', '러브엔젤46 리뷰 1,773 사진 3 팔로우 긋 반응 남기기 방문일 22.5.17.화 2022년 5월 17일 화요일 3번째 방문 인증 수단 영수증', '찡이449 리뷰 415 팔로워 1 팔로우 굿 반응 남기기 방문일 22.5.15.일 2022년 5월 15일 일요일 1번째 방문 인증 수단 영수증', 'whh**** 리뷰 231 팔로우 ?? 반응 남기기 방문일 22.5.14.토 2022년 5월 14일 토요일 1번째 방문 인증 수단 영수증']"
양천구 신정제일시장,,"['jso**** 리뷰 428 사진 5 팔로우 가방 심플함 반응 남기기 방문일 22.5.26.목 2022년 5월 26일 목요일 1번째 방문 인증 수단 영수증', '핸드베어 리뷰 77 사진 11 팔로우 별점 5 점 떡볶이 안맵고맛있어요 튀김도 깨끗한기름에 튀겨서 맛있었어요~ 반응 남기기 방문일 20.12.1.화 2020년 12월 1일 화요일 1번째 방문 인증 수단 영수증', '밍밍9544 리뷰 890 사진 34 팔로우 별점 5 점 조아요 ㅎㅎ 반응 남기기 방문일 20.9.6.일 2020년 9월 6일 일요일 1번째 방문 인증 수단 영수증', 'ym**** 리뷰 2,597 사진 20 팔로우 별점 5 점 친절하네요 반응 남기기 방문일 20.9.5.토 2020년 9월 5일 토요일 1번째 방문 인증 수단 영수증']"
양천구 오목교중앙시장,3.85,"['후진스 리뷰 1,976 사진 257 팔로워 26 팔로우 굿 야시장이 잘 되어있어요 반응 남기기 방문일 23.10.28.토 2023년 10월 28일 토요일 2번째 방문 인증 수단 영수증', 'sej911934 리뷰 1,220 사진 99 팔로우 사람이 많이 없어요 친절해요 반응 남기기 방문일 23.9.21.목 2023년 9월 21일 목요일 1번째 방문 인증 수단 영수증', 'ju**** 리뷰 207 사진 60 팔로우 과일이 맛있어요~ 친절해요 반응 남기기 방문일 23.8.29.화 2023년 8월 29일 화요일 1번째 방문 인증 수단 영수증', '달코미62 리뷰 196 사진 1 팔로우 과일 종류가 많고 가격이 저렴해요 친절해요 반응 남기기 방문일 23.8.24.목 2023년 8월 24일 목요일 1번째 방문 인증 수단 영수증', '후진스 리뷰 1,976 사진 257 팔로워 26 팔로우 굿 야시장이 잘 되어있어요 반응 남기기 방문일 23.7.5.수 2023년 7월 5일 수요일 1번째 방문 인증 수단 영수증', '코로나블루 리뷰 440 사진 2 팔로우 참외 토마토 맛있어요 반응 남기기 방문일 23.6.12.월 2023년 6월 12일 월요일 2번째 방문 인증 수단 영수증', 'yeti76 리뷰 1,406 사진 11 팔로우 굿 볼거리가 많아요 반응 남기기 방문일 23.6.5.월 2023년 6월 5일 월요일 1번째 방문 인증 수단 영수증', '코로나블루 리뷰 440 사진 2 팔로우 굿 반응 남기기 방문일 23.5.29.월 2023년 5월 29일 월요일 1번째 방문 인증 수단 영수증', 'ym**** 리뷰 207 사진 5 팔로우 사과가 참 맛있어요~ 가성비가 좋아요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 23.4.21.금 2023년 4월 21일 금요일 1번째 방문 인증 수단 영수증', '252139 리뷰 2,057 사진 12 팔로우 종류가 다양해요 종류가 다양해요 반응 남기기 방문일 23.4.18.화 2023년 4월 18일 화요일 1번째 방문 인증 수단 영수증']"
영등포구 영등포유통상가,4.34,"['kjs**** 리뷰 807 사진 86 팔로우 가성비가 좋아요 +3 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 6.12.목 2025년 6월 12일 목요일 2번째 방문 인증 수단 영수증', 'jis**** 리뷰 9 사진 5 팔로우 떡볶이가 너무 달지도 짜지도 않고 맛네요 순대도 쫄깃쫄깃해서 떡볶이랑 잘 어울려서 콤비가 좋아요 자리도 많고 쾌적하고 좋네요!! 가성비가 좋아요 +4 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 6.11.수 2025년 6월 11일 수요일 1번째 방문 인증 수단 영수증', 'eux20 리뷰 545 사진 498 팔로우 달걀이 신선해요 가성비가 좋아요 +2 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 6.11.수 2025년 6월 11일 수요일 2번째 방문 인증 수단 영수증', '은도리도리도리도리 리뷰 164 사진 470 팔로워 13 팔로우 카카오프렌즈, 가챠도 구경하고, 이쁜 옷이랑 신발도 샀어요~ 새우깡 뽑고싶었는데 너무 기분 좋아요 ㅋㅋㅋㅋㅋ 종류가 다양해요 +3 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 6.10.화 2025년 6월 10일 화요일 1번째 방문 인증 수단 영수증', '이주영6079 리뷰 72 사진 71 팔로우 종류가 다양해요 반응 남기기 방문일 6.10.화 2025년 6월 10일 화요일 1번째 방문 인증 수단 영수증', '따뜻한계란찜 리뷰 749 사진 659 팔로워 9 팔로우 세일할때 잘 샀어용 가성비가 좋아요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 6.9.월 2025년 6월 9일 월요일 3번째 방문 인증 수단 영수증', 'sky**** 리뷰 1,679 사진 1,301 팔로워 20 팔로우 좀 비싸지만 맛있어요.굿 친절해요 +4 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 6.7.토 2025년 6월 7일 토요일 6번째 방문 인증 수단 영수증', '민해피는 내꺼야 리뷰 112 사진 62 팔로우 주차가 넘 비싸용 매장이 넓어요 반응 남기기 방문일 6.7.토 2025년 6월 7일 토요일 1번째 방문 인증 수단 영수증', '00123210 리뷰 3,232 사진 43 팔로워 12 팔로우 돈까스 소스가 너무 느끼해요 가성비가 좋아요 반응 남기기 방문일 6.7.토 2025년 6월 7일 토요일 2번째 방문 인증 수단 영수증', '로 즈 마 리 리뷰 1,189 사진 17 팔로우 굿! 가성비가 좋아요 반응 남기기 방문일 6.6.금 2025년 6월 6일 금요일 1번째 방문 인증 수단 영수증']"
영등포구 대림중앙시장,4.44,"['smartswarm 리뷰 342 사진 3,286 팔로워 1,101 테마 3 팔로우 대림중앙시장은 한국 속의 중국을 경험할 수 있는 곳으로 즐길거리 먹거리 볼거리가 풍부한 시장입니다 서울 영등포구 대림동에 위치해있다 한국속 작은 중국이라 불릴 정도로 조선족, 중국인, 한국인이 함께 공존하며 운영되고 있는 시장이라고 볼수있다 시장 내에서 판매하는 품목으로는 농축수산, 잡화 등 일반 시장과 다름 없이 물건을 판매하고 있지만 시장 내에 중국 현지인이 운영하는 음식점, 중국에서 맛볼 수 있는 중국 좌판 음식 등 한국 음식 이외에 다양한 중국 먹거리도 판매되고 있다. 도전해보라 대신 인천 차이나타운 잊어라 오늘 당신은 영화 황해에서 면정학(김윤식) 김구남(하정우) 컨셉으로 대림중앙시장 즐기고 있을것이다 더보기 먹거리가 풍부해요 +3 개의 리뷰가 더 있습니다 펼쳐보기 표정을 눌러 반응을 남겨 보세요! 반응 남기기 31 명 방문일 5.6.화 2025년 5월 6일 화요일 1번째 방문 인증 수단 영수증', '신율74 리뷰 589 사진 215 팔로워 34 팔로우 좋아요 볼거리가 많아요 +2 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 1 명 방문일 4.8.화 2025년 4월 8일 화요일 1번째 방문 인증 수단 영수증', '가람73 리뷰 634 사진 289 팔로우 좋아요 컨셉이 독특해요 반응 남기기 방문일 24.1.1.월 2024년 1월 1일 월요일 1번째 방문 인증 수단 영수증', 'kb2**** 리뷰 796 사진 3 팔로워 14 팔로우 좋아요 볼거리가 많아요 반응 남기기 방문일 23.11.2.목 2023년 11월 2일 목요일 1번째 방문 인증 수단 영수증', 'lkkijs 리뷰 483 사진 67 팔로우 좋아요 볼거리가 많아요 반응 남기기 방문일 23.7.10.월 2023년 7월 10일 월요일 1번째 방문 인증 수단 영수증', 'kim**** 리뷰 516 사진 1 팔로우 굿 반응 남기기 방문일 23.4.11.화 2023년 4월 11일 화요일 1번째 방문 인증 수단 영수증', 'eun**** 리뷰 231 사진 11 팔로우 조하요 볼거리가 많아요 반응 남기기 방문일 23.2.18.토 2023년 2월 18일 토요일 1번째 방문 인증 수단 영수증', '즐겁게먹읍시다 리뷰 328 사진 1 팔로우 굿 반응 남기기 방문일 22.3.31.목 2022년 3월 31일 목요일 1번째 방문 인증 수단 영수증', '025**** 리뷰 104 사진 4 팔로우 별점 3.5 점 괜찮아요 반응 남기기 방문일 21.5.1.토 2021년 5월 1일 토요일 1번째 방문 인증 수단 영수증', 'jinwenjie595 리뷰 2,211 사진 5 팔로우 별점 5 점 ㅇ 반응 남기기 방문일 21.3.4.목 2021년 3월 4일 목요일 1번째 방문 인증 수단 영수증']"
영등포구 영일시장,,[]
영등포구 동남상가,,"['포에버 엔틱러버 리뷰 721 사진 137 팔로워 13 팔로우 상품이좋아요 친절해요 +2 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 22.11.29.화 2022년 11월 29일 화요일 1번째 방문 인증 수단 영수증', 'mc**** 리뷰 331 사진 1 팔로우 굿 반응 남기기 방문일 22.6.30.목 2022년 6월 30일 목요일 7번째 방문 인증 수단 영수증', 'mc**** 리뷰 331 사진 1 팔로우 굿 반응 남기기 방문일 22.6.30.목 2022년 6월 30일 목요일 6번째 방문 인증 수단 영수증', 'mc**** 리뷰 331 사진 1 팔로우 굿 반응 남기기 방문일 22.6.28.화 2022년 6월 28일 화요일 5번째 방문 인증 수단 영수증', 'mc**** 리뷰 331 사진 1 팔로우 굿 반응 남기기 방문일 22.6.25.토 2022년 6월 25일 토요일 3번째 방문 인증 수단 영수증', 'sj43292378 리뷰 1,317 사진 5 팔로워 1 팔로우 굿 반응 남기기 방문일 22.6.24.금 2022년 6월 24일 금요일 3번째 방문 인증 수단 영수증', 'sj43292378 리뷰 1,317 사진 5 팔로워 1 팔로우 굿 반응 남기기 방문일 22.6.24.금 2022년 6월 24일 금요일 2번째 방문 인증 수단 영수증', 'mc**** 리뷰 331 사진 1 팔로우 굿 반응 남기기 방문일 22.6.22.수 2022년 6월 22일 수요일 2번째 방문 인증 수단 영수증', 'sj43292378 리뷰 1,317 사진 5 팔로워 1 팔로우 굿 반응 남기기 방문일 22.6.16.목 2022년 6월 16일 목요일 1번째 방문 인증 수단 영수증']"
영등포구 삼구시장,,[]
영등포구 영신상가,,"['On the water 리뷰 28 사진 45 팔로워 7 팔로우 명연 꽃집 아주머니께서 친절하셔서 종종 오게 되네요 ㅎㅎ 오늘도 꽃 너무 예뻐요. 분위기가 편안해요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 5.24.토 2025년 5월 24일 토요일 2번째 방문 인증 수단 영수증', 'On the water 리뷰 28 사진 45 팔로워 7 팔로우 고터 가기에는 멀고 가까운 곳에 꽃 도매 시장이 있어서 너무 좋습니다. 영신상가 안에 여러 꽃집중에서 명연꽃집이 제 단골집인데요. 아주머니께서 너무 친절하시고 인정 많으셔서 이곳만 쭉다니려구요. 감사한 마음에 자발적으로 리뷰를 씁니다. 이번 꽃도 너무 예쁘네요. 영신상가 안에 다른 몇곳에서도 구매한 적이 있었는데요. 그 안에서 제일 친절한 꽃집 아주머니지 싶은 개인적인 생각입니다. 또 방문 할게요. ?? 더보기 친절해요 +2 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 5.1.목 2025년 5월 1일 목요일 1번째 방문 인증 수단 영수증', '강쥐라오 리뷰 665 사진 284 팔로워 4 팔로우 혼수일절 다 있네요.추천합니다 사장님 너무친절해요 가성비가 좋아요 +3 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 23.12.22.금 2023년 12월 22일 금요일 1번째 방문 인증 수단 영수증', '털리뉴 리뷰 1,494 사진 7 팔로워 9 팔로우 좋아요 가성비가 좋아요 +4 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 23.4.2.일 2023년 4월 2일 일요일 1번째 방문 인증 수단 영수증', '라떼조아88 리뷰 728 사진 4 팔로우 굿 반응 남기기 방문일 22.9.15.목 2022년 9월 15일 목요일 1번째 방문 인증 수단 영수증', 'ihs**** 리뷰 399 사진 4 팔로우 굿 반응 남기기 방문일 22.9.15.목 2022년 9월 15일 목요일 1번째 방문 인증 수단 영수증', 'sky**** 리뷰 1,015 팔로우 ㅈㅇㅇ 반응 남기기 방문일 22.2.27.일 2022년 2월 27일 일요일 1번째 방문 인증 수단 영수증', 'ml love 리뷰 995 사진 19 팔로우 좋아요 반응 남기기 방문일 21.12.31.금 2021년 12월 31일 금요일 1번째 방문 인증 수단 영수증', 'koz**** 리뷰 1,330 사진 7 팔로워 15 팔로우 조아요 반응 남기기 방문일 21.12.31.금 2021년 12월 31일 금요일 1번째 방문 인증 수단 영수증']"
용산구 보광시장,,[]
용산구 만리시장,,"['illilliiiilli 리뷰 613 팔로우 굿 붐비지 않아요 반응 남기기 방문일 23.11.25.토 2023년 11월 25일 토요일 1번째 방문 인증 수단 영수증', 'im5**** 리뷰 1,260 사진 7 팔로우 친절해요 반응 남기기 방문일 22.5.6.금 2022년 5월 6일 금요일 1번째 방문 인증 수단 영수증']"
용산구 이촌종합시장,,[]
용산구 이태원시장,,"['올리브09 리뷰 1,745 사진 1,296 팔로워 69 팔로우 이태원 시장 카라 예쁜 옷 많고 사장님 친절하세요~!! 친절해요 +1 개의 리뷰가 더 있습니다 펼쳐보기 표정을 눌러 반응을 남겨 보세요! 반응 남기기 방문일 23.5.4.목 2023년 5월 4일 목요일 1번째 방문 인증 수단 영수증', 'Jay4779 리뷰 2,195 사진 681 팔로우 굳 친절해요 반응 남기기 방문일 22.11.16.수 2022년 11월 16일 수요일 1번째 방문 인증 수단 영수증', 'csh**** 리뷰 25 사진 15 팔로우 매장이 넓어요 +1 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 22.11.5.토 2022년 11월 5일 토요일 1번째 방문 인증 수단 영수증', '오이525E 리뷰 734 사진 16 팔로워 1 팔로우 조아요 친절해요 반응 남기기 방문일 22.10.15.토 2022년 10월 15일 토요일 1번째 방문 인증 수단 영수증', 'gus**** 리뷰 156 팔로우 좋아요 친절해요 반응 남기기 방문일 22.10.11.화 2022년 10월 11일 화요일 1번째 방문 인증 수단 영수증', 'carpe diem55 리뷰 573 사진 1 팔로우 굿 반응 남기기 방문일 22.6.16.목 2022년 6월 16일 목요일 1번째 방문 인증 수단 영수증', 'ben**** 리뷰 481 사진 773 팔로우 별점 5 점 악세서리가게 ‘루비스’ 참하고 이쁜 제품이 많아요 반응 남기기 방문일 20.2.22.토 2020년 2월 22일 토요일 1번째 방문 인증 수단 영수증']"
용산구 후암시장,,"['초코핑크55 리뷰 1,123 사진 38 팔로우 좋아요 먹거리가 풍부해요 반응 남기기 방문일 5.8.목 2025년 5월 8일 목요일 1번째 방문 인증 수단 영수증', '다182 리뷰 337 사진 321 팔로우 좋아오 친절해요 반응 남기기 방문일 24.11.30.토 2024년 11월 30일 토요일 1번째 방문 인증 수단 영수증', '똘몽밍밍 리뷰 1,144 사진 237 팔로우 ?? 좋아요 친절해요 반응 남기기 방문일 24.4.14.일 2024년 4월 14일 일요일 3번째 방문 인증 수단 영수증', '똘몽밍밍 리뷰 1,144 사진 237 팔로우 굿 볼거리가 많아요 반응 남기기 방문일 23.10.8.일 2023년 10월 8일 일요일 2번째 방문 인증 수단 영수증', '똘몽밍밍 리뷰 1,144 사진 237 팔로우 굿 주차하기 편해요 반응 남기기 방문일 23.8.25.금 2023년 8월 25일 금요일 1번째 방문 인증 수단 영수증', 'RoseHee 리뷰 162 사진 4 팔로우 좋아요 친절해요 반응 남기기 방문일 23.1.31.화 2023년 1월 31일 화요일 1번째 방문 인증 수단 영수증', '코스모스503 리뷰 819 사진 2 팔로우 굿 반응 남기기 방문일 22.5.10.화 2022년 5월 10일 화요일 1번째 방문 인증 수단 영수증', '써니텐4746 리뷰 1,480 사진 153 팔로우 굿 반응 남기기 방문일 22.2.22.화 2022년 2월 22일 화요일 1번째 방문 인증 수단 영수증', 'goodhill 리뷰 1,415 사진 1 팔로우 굿 반응 남기기 방문일 22.1.10.월 2022년 1월 10일 월요일 1번째 방문 인증 수단 영수증', '찐찐1970 리뷰 529 팔로우 갈비탕 양도 푸짐하고 김치 깍두기도  맛있어요 반응 남기기 방문일 21.12.22.수 2021년 12월 22일 수요일 1번째 방문 인증 수단 영수증']"
은평구 대조시장,4.18,"['dre**** 리뷰 234 사진 246 팔로우 . 볼거리가 많아요 +3 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 5.31.토 2025년 5월 31일 토요일 1번째 방문 인증 수단 영수증', 'EnS 리뷰 2,280 사진 3,542 팔로워 116 팔로우 이것저것 구경할게꽤있어요 근처에오시면들려볼만함 온누리페이되고 중간에 팥죽집에서 파는 젓갈 맛있어요 조개젓 반근 5000 이것 안짜고맛있어요 담에 오징어젓갈먹으러 가볼게요 닭발10000원어치샀는더 무쟈게달아요 양념이 조금 호불호갈리는맛ㅜㅜ 더보기 볼거리가 많아요 +2 개의 리뷰가 더 있습니다 펼쳐보기 반응 남기기 방문일 1.17.금 2025년 1월 17일 금요일 1번째 방문 인증 수단 영수증', 'smg3121 리뷰 925 팔로우 별점 3.5 점 ㅈ 반응 남기기 방문일 20.12.15.화 2020년 12월 15일 화요일 1번째 방문 인증 수단 영수증']"
